Name,Rank,Team,Position,2020_FPTS,PROJ_FPTS,Outlook,2020_AB,2020_R,2020_HR,2020_RBI,2020_BBb,2020_Kb,2020_SB,2020_AVG,2020_OBP,2020_SLG,2020_OPS,PROJ_AB,PROJ_R,PROJ_HR,PROJ_RBI,PROJ_BBb,PROJ_Kb,PROJ_SB,PROJ_AVG,PROJ_OBP,PROJ_SLG,PROJ_OPS,2020_G,2020_GS,2020_IP,2020_BBp,2020_Kp,2020_W,2020_SV,2020_HD,2020_ERA,2020_WHIP,2020_K/9,PROJ_G,PROJ_GS,PROJ_IP,PROJ_BBp,PROJ_Kp,PROJ_W,PROJ_SV,PROJ_HD,PROJ_ERA,PROJ_WHIP,PROJ_K/9
Mike Trout,1,Angels,OF,498.13,1483.14,No outlook available.,199,41,17,46,35,56,1,.281,.390,.603,.993,518,115,44,107,116,135,13,.295,.432,.620,1.052,,,,,,,,,,,,,,,,,,,,,,
Juan Soto,2,Nationals,OF,519.68,1421.87,No outlook available.,154,39,13,37,41,28,6,.351,.490,.695,1.185,543,113,36,111,115,124,13,.302,.424,.578,1.002,,,,,,,,,,,,,,,,,,,,,,
Freddie Freeman,3,Braves,1B,629.21,1416.96,No outlook available.,214,51,13,53,45,37,2,.341,.462,.640,1.102,594,114,34,117,92,121,6,.308,.406,.564,.970,,,,,,,,,,,,,,,,,,,,,,
Jacob deGrom,4,Mets,SP,500.36,1393.16,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,68.0,18,104,4,0,0,2.38,0.96,13.76,32,32,203.0,50,260,17,0,0,2.62,0.99,11.53
Mookie Betts,5,Dodgers,OF,475.78,1334.29,No outlook available.,219,47,16,39,24,38,10,.292,.366,.562,.927,587,126,35,87,81,97,22,.295,.381,.549,.929,,,,,,,,,,,,,,,,,,,,,,
Gerrit Cole,6,Yankees,SP,431.36,1302.36,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,73.0,17,94,7,0,0,2.84,0.96,11.59,32,32,203.0,54,273,17,0,0,2.97,1.00,12.10
Bryce Harper,7,Phillies,"OF, DH",494.62,1300.58,No outlook available.,190,41,13,33,49,43,8,.268,.420,.542,.962,551,105,36,105,115,159,16,.265,.394,.525,.919,,,,,,,,,,,,,,,,,,,,,,
Ronald Acuna Jr.,8,Braves,OF,434.32,1291.51,No outlook available.,160,46,14,29,38,60,8,.250,.406,.581,.987,588,119,37,91,79,176,31,.282,.375,.526,.900,,,,,,,,,,,,,,,,,,,,,,
Alex Bregman,9,Astros,3B,271.8,1289.84,No outlook available.,153,19,6,22,24,26,0,.242,.350,.451,.801,561,105,32,100,98,87,7,.280,.392,.535,.926,,,,,,,,,,,,,,,,,,,,,,
Anthony Rendon,10,Angels,3B,425.74,1278.0,No outlook available.,189,29,9,31,38,31,0,.286,.418,.497,.915,543,97,30,106,86,88,4,.298,.399,.552,.952,,,,,,,,,,,,,,,,,,,,,,
Christian Yelich,11,Brewers,OF,378.09,1277.82,No outlook available.,200,39,12,22,46,76,4,.205,.356,.430,.786,539,106,34,90,88,147,22,.289,.393,.547,.940,,,,,,,,,,,,,,,,,,,,,,
Jose Ramirez,12,Indians,3B,530.22,1266.82,No outlook available.,219,45,17,46,31,43,10,.292,.386,.607,.993,580,100,34,102,75,90,27,.278,.362,.540,.902,,,,,,,,,,,,,,,,,,,,,,
Trevor Story,13,Rockies,SS,451.83,1258.44,No outlook available.,235,41,11,28,24,63,15,.289,.355,.519,.874,593,96,35,82,56,172,28,.288,.354,.551,.905,,,,,,,,,,,,,,,,,,,,,,
Shane Bieber,14,Indians,SP,600.88,1255.76,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,77.1,21,122,8,0,0,1.63,0.87,14.20,32,32,198.0,44,244,15,0,0,3.27,1.05,11.09
Fernando Tatis Jr.,15,Padres,SS,505.97,1236.3,No outlook available.,224,50,17,45,27,61,11,.277,.366,.571,.937,585,119,36,96,59,176,29,.284,.357,.538,.896,,,,,,,,,,,,,,,,,,,,,,
Trea Turner,16,Nationals,SS,525.45,1233.78,No outlook available.,233,46,12,41,22,36,12,.335,.394,.588,.982,626,110,24,76,56,125,38,.297,.358,.497,.854,,,,,,,,,,,,,,,,,,,,,,
Cody Bellinger,17,Dodgers,"OF, 1B",374.74,1219.95,No outlook available.,213,33,12,30,30,42,6,.239,.333,.455,.789,547,104,38,102,81,124,14,.278,.371,.552,.923,,,,,,,,,,,,,,,,,,,,,,
Aaron Nola,18,Phillies,SP,451.56,1214.72,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,71.1,23,96,5,0,0,3.28,1.08,12.11,32,32,201.0,67,248,15,0,0,3.31,1.14,11.10
Trevor Bauer,19,Dodgers,SP,521.56,1209.64,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,11,11,73.0,17,100,5,0,0,1.73,0.79,12.33,32,32,207.0,67,247,16,0,0,3.30,1.11,10.74
Xander Bogaerts,20,Red Sox,SS,393.03,1192.89,No outlook available.,203,36,11,28,21,41,8,.300,.364,.502,.867,573,96,30,101,66,114,10,.295,.367,.529,.896,,,,,,,,,,,,,,,,,,,,,,
Shohei Ohtani,21,Angels,"DH, SP",194.5,1185.02,No outlook available.,151,23,7,24,22,49,7,.185,.289,.364,.653,407,46,9,43,39,65,2,.268,.336,.393,.729,,,,,,,,,,,,,,,,,,,,,,
Marcell Ozuna,22,Braves,"OF, DH",602.1,1178.48,No outlook available.,228,38,18,56,38,60,0,.333,.427,.632,1.059,576,89,35,113,68,134,6,.292,.366,.526,.892,,,,,,,,,,,,,,,,,,,,,,
Manny Machado,23,Padres,3B,499.26,1166.15,No outlook available.,224,44,16,47,26,37,6,.304,.370,.580,.950,596,93,34,101,68,113,11,.280,.354,.508,.862,,,,,,,,,,,,,,,,,,,,,,
Lucas Giolito,24,White Sox,SP,474.68,1164.2,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,72.1,28,97,4,0,0,3.48,1.04,12.07,32,32,200.0,72,241,13,0,0,3.56,1.13,10.85
Yu Darvish,25,Padres,SP,536.52,1163.28,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,76.0,14,93,8,0,0,2.01,0.96,11.01,31,31,189.0,52,231,15,0,0,3.00,1.07,11.00
George Springer,26,Blue Jays,OF,389.14,1150.11,No outlook available.,189,37,14,32,24,38,1,.259,.355,.534,.889,533,109,37,95,68,118,5,.281,.370,.548,.918,,,,,,,,,,,,,,,,,,,,,,
Pete Alonso,27,Mets,"1B, DH",365.55,1133.15,No outlook available.,208,31,16,35,24,61,1,.231,.326,.490,.817,571,96,44,112,69,173,1,.242,.340,.522,.862,,,,,,,,,,,,,,,,,,,,,,
Francisco Lindor,28,Mets,SS,374.12,1132.46,No outlook available.,236,30,8,27,24,41,6,.258,.335,.415,.750,626,102,30,79,56,107,20,.275,.338,.481,.818,,,,,,,,,,,,,,,,,,,,,,
Jose Abreu,29,White Sox,1B,533.39,1126.76,No outlook available.,240,43,19,60,18,59,0,.317,.370,.617,.987,608,88,34,117,38,142,2,.285,.335,.518,.853,,,,,,,,,,,,,,,,,,,,,,
Max Scherzer,30,Nationals,SP,363.28,1114.52,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,67.1,23,92,5,0,0,3.74,1.38,12.30,30,30,181.0,47,233,14,0,0,3.33,1.12,11.59
Paul Goldschmidt,31,Cardinals,1B,409.68,1112.76,No outlook available.,191,31,6,21,37,43,1,.304,.417,.466,.883,550,91,30,81,82,148,3,.275,.371,.498,.870,,,,,,,,,,,,,,,,,,,,,,
Nick Castellanos,32,Reds,OF,344.5,1110.74,No outlook available.,218,37,14,34,19,69,0,.225,.298,.486,.784,607,93,31,84,47,163,2,.273,.331,.517,.849,,,,,,,,,,,,,,,,,,,,,,
Zac Gallen,33,Diamondbacks,SP,420.24,1105.4,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,72.0,25,82,3,0,0,2.75,1.11,10.25,32,32,190.0,75,222,14,0,0,3.46,1.18,10.52
Anthony Rizzo,34,Cubs,1B,344.97,1103.88,No outlook available.,203,26,11,24,28,38,3,.222,.342,.414,.755,557,82,26,89,74,94,7,.269,.378,.463,.841,,,,,,,,,,,,,,,,,,,,,,
Luis Castillo,35,Reds,SP,446.2,1103.56,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,12,12,70.0,24,89,4,0,0,3.34,1.23,11.44,32,32,188.0,71,228,13,0,0,3.35,1.20,10.91
Eugenio Suarez,36,Reds,3B,332.7,1100.43,No outlook available.,198,29,15,38,30,67,2,.202,.312,.470,.781,545,83,38,99,73,170,3,.261,.354,.517,.872,,,,,,,,,,,,,,,,,,,,,,
Trent Grisham,37,Padres,OF,404.56,1099.21,No outlook available.,215,42,10,26,31,64,10,.251,.352,.456,.808,550,95,25,78,90,141,18,.260,.368,.471,.839,,,,,,,,,,,,,,,,,,,,,,
Michael Conforto,38,Mets,OF,443.93,1095.41,No outlook available.,201,40,9,31,24,57,3,.323,.414,.517,.931,547,99,29,93,80,154,6,.269,.372,.484,.857,,,,,,,,,,,,,,,,,,,,,,
Rafael Devers,39,Red Sox,3B,333.32,1093.48,No outlook available.,232,32,11,43,13,67,0,.263,.310,.483,.793,611,100,28,101,45,139,5,.283,.336,.504,.840,,,,,,,,,,,,,,,,,,,,,,
Corey Seager,40,Dodgers,SS,431.81,1091.44,No outlook available.,212,38,15,41,17,37,1,.307,.358,.585,.943,561,98,29,104,53,112,2,.287,.350,.522,.872,,,,,,,,,,,,,,,,,,,,,,
DJ LeMahieu,41,Yankees,"2B, 1B, 3B",454.44,1087.4,No outlook available.,194,41,10,27,18,20,3,.366,.423,.593,1.016,588,104,22,83,48,85,6,.315,.366,.486,.853,,,,,,,,,,,,,,,,,,,,,,
Bo Bichette,42,Blue Jays,SS,209.9,1086.2,No outlook available.,123,18,5,23,5,27,4,.301,.328,.512,.840,606,94,23,83,43,131,22,.285,.333,.495,.828,,,,,,,,,,,,,,,,,,,,,,
Vladimir Guerrero Jr.,43,Blue Jays,"1B, DH",360.66,1085.55,No outlook available.,219,34,9,33,20,38,1,.265,.332,.466,.798,561,82,26,97,55,91,2,.298,.362,.510,.872,,,,,,,,,,,,,,,,,,,,,,
Rhys Hoskins,44,Phillies,1B,322.33,1083.55,No outlook available.,151,35,10,26,29,43,1,.245,.384,.503,.887,529,94,33,94,87,146,4,.248,.363,.497,.860,,,,,,,,,,,,,,,,,,,,,,
Sonny Gray,45,Reds,SP,354.32,1080.2,No outlook available.,,,,,,,,,,,,,,,,,,,,,,,11,11,56.0,26,72,5,0,0,3.70,1.21,11.57,30,30,180.0,75,221,12,0,0,3.60,1.19,11.05
Nolan Arenado,46,Cardinals,3B,259.15,1077.59,No outlook available.,182,23,8,26,15,20,0,.253,.303,.434,.738,590,82,33,94,62,98,2,.271,.339,.495,.834,,,,,,,,,,,,,,,,,,,,,,
Kyle Tucker,47,Astros,"OF, DH",386.19,1076.08,No outlook available.,209,33,9,42,18,46,8,.268,.325,.512,.837,579,89,30,98,51,144,23,.268,.329,.499,.828,,,,,,,,,,,,,,,,,,,,,,
Mike Yastrzemski,48,Giants,OF,455.84,1075.78,No outlook available.,192,39,10,35,30,55,2,.297,.400,.568,.968,561,101,28,86,66,160,5,.266,.349,.508,.857,,,,,,,,,,,,,,,,,,,,,,
Cavan Biggio,49,Blue Jays,"2B, 3B, OF",411.03,1075.15,No outlook available.,220,41,8,28,40,61,6,.250,.373,.432,.804,541,96,22,76,105,160,17,.250,.375,.440,.815,,,,,,,,,,,,,,,,,,,,,,
Brandon Lowe,50,Rays,"2B, OF",418.74,1071.3,No outlook available.,193,36,14,37,25,58,3,.269,.362,.554,.916,557,88,31,99,61,172,9,.266,.345,.503,.848,,,,,,,,,,,,,,,,,,,,,,
